RowNumber,RowNumber_TYPE,CustomerId,CustomerId_TYPE,Surname,Surname_TYPE,CreditScore,CreditScore_TYPE,Geography,Geography_TYPE,Gender,Gender_TYPE,Age,Age_TYPE,Tenure,Tenure_TYPE,Balance,Balance_TYPE,NumOfProducts,NumOfProducts_TYPE,HasCrCard,HasCrCard_TYPE,IsActiveMember,IsActiveMember_TYPE,EstimatedSalary,EstimatedSalary_TYPE,Exited,Exited_TYPE
1,Number,15634602,Number,Hargrave,String,619,Number,France,String,Female,String,42,Number,2,Number,0,Number,1,Number,1,Number,1,Number,101348.88,Number,1,Number
2,Number,15647311,Number,Hill,String,608,Number,Spain,String,Female,String,41,Number,1,Number,83807.86,Number,1,Number,0,Number,1,Number,112542.58,Number,0,Number
3,Number,15619304,Number,Onio,String,502,Number,France,String,Female,String,42,Number,8,Number,159660.8,Number,3,Number,1,Number,0,Number,113931.57,Number,1,Number
4,Number,15701354,Number,Boni,String,699,Number,France,String,Female,String,39,Number,1,Number,0,Number,2,Number,0,Number,0,Number,93826.63,Number,0,Number
5,Number,15737888,Number,Mitchell,String,850,Number,Spain,String,Female,String,43,Number,2,Number,125510.82,Number,1,Number,1,Number,1,Number,79084.1,Number,0,Number
6,Number,15574012,Number,Chu,String,645,Number,Spain,String,Male,String,44,Number,8,Number,113755.78,Number,2,Number,1,Number,0,Number,149756.71,Number,1,Number
7,Number,15592531,Number,Bartlett,String,822,Number,France,String,Male,String,50,Number,7,Number,0,Number,2,Number,1,Number,1,Number,10062.8,Number,0,Number
8,Number,15656148,Number,Obinna,String,376,Number,Germany,String,Female,String,29,Number,4,Number,115046.74,Number,4,Number,1,Number,0,Number,119346.88,Number,1,Number
9,Number,15792365,Number,He,String,501,Number,France,String,Male,String,44,Number,4,Number,142051.07,Number,2,Number,0,Number,1,Number,74940.5,Number,0,Number
10,Number,15592389,Number,H?,String,684,Number,France,String,Male,String,27,Number,2,Number,134603.88,Number,1,Number,1,Number,1,Number,71725.73,Number,0,Number
11,Number,15767821,Number,Bearce,String,528,Number,France,String,Male,String,31,Number,6,Number,102016.72,Number,2,Number,0,Number,0,Number,80181.12,Number,0,Number
12,Number,15737173,Number,Andrews,String,497,Number,Spain,String,Male,String,24,Number,3,Number,0,Number,2,Number,1,Number,0,Number,76390.01,Number,0,Number
13,Number,15632264,Number,Kay,String,476,Number,France,String,Female,String,34,Number,10,Number,0,Number,2,Number,1,Number,0,Number,26260.98,Number,0,Number
14,Number,15691483,Number,Chin,String,549,Number,France,String,Female,String,25,Number,5,Number,0,Number,2,Number,0,Number,0,Number,190857.79,Number,0,Number
15,Number,15600882,Number,Scott,String,635,Number,Spain,String,Female,String,35,Number,7,Number,0,Number,2,Number,1,Number,1,Number,65951.65,Number,0,Number
16,Number,15643966,Number,Goforth,String,616,Number,Germany,String,Male,String,45,Number,3,Number,143129.41,Number,2,Number,0,Number,1,Number,64327.26,Number,0,Number
17,Number,15737452,Number,Romeo,String,653,Number,Germany,String,Male,String,58,Number,1,Number,132602.88,Number,1,Number,1,Number,0,Number,5097.67,Number,1,Number
18,Number,15788218,Number,Henderson,String,549,Number,Spain,String,Female,String,24,Number,9,Number,0,Number,2,Number,1,Number,1,Number,14406.41,Number,0,Number
