1,1_TYPE,"Eldon Base for stackable storage shelf, platinum","Eldon Base for stackable storage shelf, platinum_TYPE","Muhammed MacIntyre","Muhammed MacIntyre_TYPE",3,3_TYPE,-213.25,-213.25_TYPE,38.94,38.94_TYPE,35,35_TYPE,Nunavut,Nunavut_TYPE,"Storage & Organization","Storage & Organization_TYPE",0.8,0.8_TYPE
2,Number,"1.7 Cubic Foot Compact ""Cube"" Office Refrigerators",Mix,"Barry French",String,293,Number,457.81,Number,208.16,Number,68.02,Number,Nunavut,String,Appliances,String,0.58,Number
3,Number,"Cardinal Slant-D® Ring Binder, Heavy Gauge Vinyl",String,"Barry French",String,293,Number,46.71,Number,8.69,Number,2.99,Number,Nunavut,String,"Binders and Binder Accessories",String,0.39,Number
4,Number,R380,Mix,"Clay Rozendal",String,483,Number,1198.97,Number,195.99,Number,3.99,Number,Nunavut,String,"Telephones and Communication",String,0.58,Number
5,Number,"Holmes HEPA Air Purifier",String,"Carlos Soltero",String,515,Number,30.94,Number,21.78,Number,5.94,Number,Nunavut,String,Appliances,String,0.5,Number
6,Number,"G.E. Longer-Life Indoor Recessed Floodlight Bulbs",String,"Carlos Soltero",String,515,Number,4.43,Number,6.64,Number,4.95,Number,Nunavut,String,"Office Furnishings",String,0.37,Number
7,Number,"Angle-D Binders with Locking Rings, Label Holders",String,"Carl Jackson",String,613,Number,-54.04,Number,7.3,Number,7.72,Number,Nunavut,String,"Binders and Binder Accessories",String,0.38,Number
8,Number,"SAFCO Mobile Desk Side File, Wire Frame",String,"Carl Jackson",String,613,Number,127.70,Number,42.76,Number,6.22,Number,Nunavut,String,"Storage & Organization",String,,String
9,Number,"SAFCO Commercial Wire Shelving, Black",String,"Monica Federle",String,643,Number,-695.26,Number,138.14,Number,35,Number,Nunavut,String,"Storage & Organization",String,,String
10,Number,"Xerox 198",Mix,"Dorothy Badders",String,678,Number,-226.36,Number,4.98,Number,8.33,Number,Nunavut,String,Paper,String,0.38,Number
11,Number,"Xerox 1980",Mix,"Neola Schneider",String,807,Number,-166.85,Number,4.28,Number,6.18,Number,Nunavut,String,Paper,String,0.4,Number
12,Number,"Advantus Map Pennant Flags and Round Head Tacks",String,"Neola Schneider",String,807,Number,-14.33,Number,3.95,Number,2,Number,Nunavut,String,"Rubber Bands",String,0.53,Number
13,Number,"Holmes HEPA Air Purifier",String,"Carlos Daly",String,868,Number,134.72,Number,21.78,Number,5.94,Number,Nunavut,String,Appliances,String,0.5,Number
14,Number,"DS/HD IBM Formatted Diskettes, 200/Pack - Staples",Mix,"Carlos Daly",String,868,Number,114.46,Number,47.98,Number,3.61,Number,Nunavut,String,"Computer Peripherals",String,0.71,Number
15,Number,"Wilson Jones 1"" Hanging DublLock® Ring Binders",Mix,"Claudia Miner",String,933,Number,-4.72,Number,5.28,Number,2.99,Number,Nunavut,String,"Binders and Binder Accessories",String,0.37,Number
16,Number,"Ultra Commercial Grade Dual Valve Door Closer",String,"Neola Schneider",String,995,Number,782.91,Number,39.89,Number,3.04,Number,Nunavut,String,"Office Furnishings",String,0.53,Number
17,Number,"#10-4 1/8"" x 9 1/2"" Premium Diagonal Seam Envelopes",Mix,"Allen Rosenblatt",String,998,Number,93.80,Number,15.74,Number,1.39,Number,Nunavut,String,Envelopes,String,0.4,Number
18,Number,"Hon 4-Shelf Metal Bookcases",Mix,"Sylvia Foulston",String,1154,Number,440.72,Number,100.98,Number,26.22,Number,Nunavut,String,Bookcases,String,0.6,Number
19,Number,"Lesro Sheffield Collection Coffee Table, End Table, Center Table, Corner Table",String,"Sylvia Foulston",String,1154,Number,-481.04,Number,71.37,Number,69,Number,Nunavut,String,Tables,String,0.68,Number
